gene_id,gene_name,Common_Name,Citation,URL,Review,URL,Note,Pub_locus,Other_Name
WBGene00224281,Bm4020,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s112,,,,Bm1_22920,TAG4020; Bm1_22920A; Bm1_22920
WBGene00222822,Bma-sphk-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s113,,,,Bm1_57355,Bm-sphk-1; TAG2561; Bm1_27680A; Bm1_57355
WBGene00268954,Bm17812,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s114,,,,Bm1_00290,Bm1_54345A; Bm1_00290A; Bm1_00290
WBGene00222658,Bma-glb-8,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s115,,,,Bm1_02240,Bm-glb-8; TAG2397; Bm1_02240A; TAG10192; TAG11472; Bm1_02240
WBGene00269368,Bma-pas-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s116,,,,Bm1_05700,Bm1_05700A; Bm1_05700
WBGene00221154,Bm893,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s117,,,,Bm1_06065,TAG893; Bm1_06065A; Bm1_14030A; Bm1_06065
WBGene00227728,Bm7467,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s118,,,,Bm1_07730,TAG7467; Bm1_05210A; Bm1_07730A; Bm1_54435A; TAG11310; Bm1_07730; Bm1_54435
WBGene00227908,Bma-fzo-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s119,,,,Bm1_09110,Bm-fzo-1; TAG7647; Bm1_09110A; Bm1_09110
WBGene00229524,Bm9263,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s120,,,,Bm1_18120,TAG9263; Bm1_11910A; Bm1_18120A; Bm1_11910; Bm1_18120
WBGene00225695,Bma-hsp-75,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s121,,,,Bm1_20215,TAG5434; Bm1_20215A; TAG14128; Bm1_20215
WBGene00222249,Bm1988,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s122,,,,Bm1_25945,TAG1988; Bm1_25945A; Bm1_25945
WBGene00268993,Bm17851,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s123,,,,Bm1_28090,Bm1_23285A; Bm1_28090A; Bm1_23285; Bm1_28090
WBGene00225316,Bma-pitp-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s124,,,,Bm1_28360,Bm-pitp-1; TAG5055; Bm1_28360A; Bm1_28360
WBGene00225268,Bma-unc-43,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s125,,,,Bm1_37225,Bm-unc-43; TAG5007; Bm1_37210; Bm1_37215; Bm1_37225; Bm1_37220
WBGene00224636,Bma-par-3,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s126,,,,Bm1_41135,TAG4375; Bm1_41130A; Bm1_41135A; TAG12463; TAG12464; Bm1_41135; Bm1_41130
WBGene00225101,Bma-nmtn-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s127,,,,Bm1_49965,TAG4840; Bm1_49965
WBGene00224568,Bm4307,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s128,,,,Bm1_52270,TAG4307; Bm1_52275; Bm1_52270
WBGene00234054,Bm13793,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s129,,,,Bm1_26615,TAG13793; Bm1_26615A; Bm1_26615
WBGene00231732,Bma-tep-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s131,,,,Bm1_23105,TAG11471; TAG11533; TAG11679; Bm1_23105A; Bm1_23100A; Bm1_23100; Bm1_23105
WBGene00231732,Bma-tep-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s132,,,,Bm1_23100,TAG11471; TAG11533; TAG11679; Bm1_23105A; Bm1_23100A; Bm1_23100; Bm1_23105
WBGene00233060,Bm12799,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s133,,,,Bm1_06185,Bm-cpl-7; TAG12799; Bm-cpl-3; Bm1_06185A; Bm1_06185
WBGene00234324,Bma-dlc-1,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s134,,,,Bm1_30225,Bm-dlc-1; TAG14063; Bm1_30225A; Bm1_30225
WBGene00224470,Bm4209,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s135,,,,Bm1_04850,TAG4209; Bm1_04850A; TAG1206; TAG1227; Bm1_04850
WBGene00234109,Bm13848,,Moreno,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0000326#s136,,,,Bm1_08800,Bm-gdi-1; TAG13848; Bm1_08800A; Bm1_08800
