Sex,Worm,Distance,Gray_Value,Annotation
Male,0329_e3,111.15,7.5341,
Male,0329_e3,111.475,7.5341,
Male,0329_e3,111.8,5.7955,
Male,0329_e3,112.125,5.7955,
Male,0329_e3,112.45,6.9545,
Male,0329_e3,112.775,6.9545,
Male,0329_e3,113.1,6.9545,
Male,0329_e3,113.425,8.6932,
Male,0329_e3,113.75,8.6932,
Male,0329_e3,114.075,11.0114,
Male,0329_e3,114.4,11.5909,
Male,0329_e3,114.725,12.75,
Male,0329_e3,115.05,12.75,
Male,0329_e3,115.375,13.9091,
Male,0329_e3,115.7,15.0682,
Male,0329_e3,116.025,14.4886,
Male,0329_e3,116.35,16.2273,
Male,0329_e3,116.675,22.0227,
Male,0329_e3,117,24.9205,
Male,0329_e3,117.325,26.0795,
Male,0329_e3,117.65,26.6591,
Male,0329_e3,117.975,28.3977,
Male,0329_e3,118.3,31.2955,
Male,0329_e3,118.625,32.4545,
Male,0329_e3,118.95,33.0341,
Male,0329_e3,119.275,30.1364,
Male,0329_e3,119.6,28.3977,
Male,0329_e3,119.925,29.5568,
Male,0329_e3,120.25,25.5,
Male,0329_e3,120.575,23.7614,
Male,0329_e3,120.9,20.2841,
Male,0329_e3,121.225,18.5455,
Male,0329_e3,121.55,19.125,
Male,0329_e3,121.875,15.6477,
Male,0329_e3,122.2,16.2273,
Male,0329_e3,122.525,8.6932,
Male,0329_e3,122.85,7.5341,
Male,0329_e3,123.175,7.5341,
Male,0329_e3,123.5,6.9545,
Male,0329_e3,123.825,8.6932,
Male,0329_e3,124.15,8.1136,
Male,0329_e3,124.475,9.8523,
Male,0329_e3,124.8,10.4318,
Male,0329_e3,125.125,12.1705,
Male,0329_e3,125.45,11.5909,
Male,0329_e3,125.775,12.1705,
Male,0329_e3,126.1,13.3295,
Male,0329_e3,126.425,13.3295,
Male,0329_e3,126.75,15.0682,
Male,0329_e3,127.075,16.2273,
Male,0329_e3,127.4,15.6477,
Male,0329_e3,127.725,15.6477,
Male,0329_e3,128.05,17.9659,
Male,0329_e3,128.375,16.8068,
Male,0329_e3,128.7,17.3864,
Male,0329_e3,129.025,18.5455,
Male,0329_e3,129.35,16.2273,
Male,0329_e3,129.675,17.3864,
Male,0329_e3,130,16.2273,
Male,0329_e3,130.325,13.3295,
Male,0329_e3,130.65,11.0114,
Male,0329_e3,130.975,9.2727,
Male,0329_e3,131.3,8.1136,
Male,0329_e3,131.625,7.5341,
Male,0329_e3,131.95,5.7955,
Male,0329_e3,132.275,2.3182,
Male,0329_e3,132.6,0.5795,
Male,0329_e3,132.925,0.5795,
Male,0329_e3,133.25,0,
Male,0329_e3,133.575,0,
Male,0329_e3,133.9,4.0568,
Male,0329_e3,134.225,8.1136,
Male,0329_e3,134.55,12.1705,
Male,0329_e3,134.875,14.4886,
Male,0329_e3,135.2,16.2273,
Male,0329_e3,135.525,17.9659,
Male,0329_e3,135.85,21.4432,
Male,0329_e3,136.175,22.0227,
Male,0329_e3,136.5,23.1818,
Male,0329_e3,136.825,24.9205,
Male,0329_e3,137.15,24.3409,
Male,0329_e3,137.475,25.5,
Male,0329_e3,137.8,27.2386,
Male,0329_e3,138.125,27.8182,
Male,0329_e3,138.45,27.2386,
Male,0329_e3,138.775,27.8182,
Male,0329_e3,139.1,29.5568,
Male,0329_e3,139.425,31.2955,
Male,0329_e3,139.75,34.7727,
Male,0329_e3,140.075,35.9318,
Male,0329_e3,140.4,37.6705,
Male,0329_e3,140.725,38.8295,
Male,0329_e3,141.05,43.4659,
Male,0329_e3,141.375,46.3636,
Male,0329_e3,141.7,46.9432,
Male,0329_e3,142.025,48.6818,
Male,0329_e3,142.35,48.6818,
Male,0329_e3,142.675,48.1023,
Male,0329_e3,143,46.3636,
Male,0329_e3,143.325,44.0455,
Male,0329_e3,143.65,44.0455,
Male,0329_e3,143.975,39.9886,
Male,0329_e3,144.3,37.0909,
Male,0329_e3,144.625,33.0341,
Male,0329_e3,144.95,28.9773,
Male,0329_e3,145.275,25.5,
Male,0329_e3,145.6,26.6591,
Male,0329_e3,145.925,27.2386,
Male,0329_e3,146.25,24.3409,
Male,0329_e3,146.575,24.9205,
Male,0329_e3,146.9,22.6023,
Male,0329_e3,147.225,22.6023,
Male,0329_e3,147.55,20.8636,
Male,0329_e3,147.875,24.9205,
Male,0329_e3,148.2,20.8636,
Male,0329_e3,148.525,20.8636,
Male,0329_e3,148.85,21.4432,
Male,0329_e3,149.175,21.4432,
Male,0329_e3,149.5,22.0227,
Male,0329_e3,149.825,21.4432,
Male,0329_e3,150.15,20.8636,
Male,0329_e3,150.475,23.1818,
Male,0329_e3,150.8,26.6591,
Male,0329_e3,151.125,28.9773,
Male,0329_e3,151.45,28.9773,
Male,0329_e3,151.775,28.9773,
Male,0329_e3,152.1,30.7159,
Male,0329_e3,152.425,31.875,
Male,0329_e3,152.75,36.5114,
Male,0329_e3,153.075,37.0909,
Male,0329_e3,153.4,37.6705,
Male,0329_e3,153.725,37.6705,
Male,0329_e3,154.05,36.5114,
Male,0329_e3,154.375,35.9318,
Male,0329_e3,154.7,38.25,
Male,0329_e3,155.025,35.9318,
Male,0329_e3,155.35,35.3523,
Male,0329_e3,155.675,35.3523,
Male,0329_e3,156,34.7727,
Male,0329_e3,156.325,33.6136,
Male,0329_e3,156.65,32.4545,
Male,0329_e3,156.975,32.4545,
Male,0329_e3,157.3,29.5568,
Male,0329_e3,157.625,28.3977,
Male,0329_e3,157.95,24.3409,
Male,0329_e3,158.275,20.8636,
Male,0329_e3,158.6,19.7045,
Male,0329_e3,158.925,21.4432,
Male,0329_e3,159.25,20.8636,
Male,0329_e3,159.575,22.6023,
Male,0329_e3,159.9,22.6023,
Male,0329_e3,160.225,23.7614,
Male,0329_e3,160.55,28.9773,
Male,0329_e3,160.875,30.1364,
Male,0329_e3,161.2,33.0341,
Male,0329_e3,161.525,34.1932,
Male,0329_e3,161.85,39.9886,
Male,0329_e3,162.175,44.625,
Male,0329_e3,162.5,45.2045,
Male,0329_e3,162.825,45.7841,
Male,0329_e3,163.15,45.7841,
Male,0329_e3,163.475,42.8864,
Male,0329_e3,163.8,39.4091,
Male,0329_e3,164.125,37.0909,
Male,0329_e3,164.45,34.7727,
Male,0329_e3,164.775,33.0341,
Male,0329_e3,165.1,30.1364,
Male,0329_e3,165.425,26.6591,
Male,0329_e3,165.75,19.125,
Male,0329_e3,166.075,15.6477,
Male,0329_e3,166.4,13.3295,
Male,0329_e3,166.725,8.6932,
Male,0329_e3,167.05,9.2727,
Male,0329_e3,167.375,5.7955,
Male,0329_e3,167.7,6.375,
Male,0329_e3,168.025,9.2727,
Male,0329_e3,168.35,12.1705,
Male,0329_e3,168.675,12.75,
Male,0329_e3,169,15.0682,
Male,0329_e3,169.325,19.7045,
Male,0329_e3,169.65,22.6023,
Male,0329_e3,169.975,24.3409,
Male,0329_e3,170.3,27.8182,
Male,0329_e3,170.625,32.4545,
Male,0329_e3,170.95,33.0341,
Male,0329_e3,171.275,33.6136,
Male,0329_e3,171.6,35.9318,
Male,0329_e3,171.925,37.0909,
Male,0329_e3,172.25,35.3523,
Male,0329_e3,172.575,36.5114,
Male,0329_e3,172.9,35.9318,
Male,0329_e3,173.225,35.9318,
Male,0329_e3,173.55,35.9318,
Male,0329_e3,173.875,34.7727,
Male,0329_e3,174.2,33.6136,
Male,0329_e3,174.525,33.0341,
Male,0329_e3,174.85,31.875,
Male,0329_e3,175.175,25.5,
Male,0329_e3,175.5,23.1818,
Male,0329_e3,175.825,18.5455,
Male,0329_e3,176.15,12.75,
Male,0329_e3,176.475,11.5909,
Male,0329_e3,176.8,11.5909,
Male,0329_e3,177.125,10.4318,
Male,0329_e3,177.45,11.0114,
Male,0329_e3,177.775,10.4318,
Male,0329_e3,178.1,10.4318,
Male,0329_e3,178.425,9.8523,
Male,0329_e3,178.75,10.4318,
Male,0329_e3,179.075,12.1705,
Male,0329_e3,179.4,12.75,
Male,0329_e3,179.725,17.9659,
Male,0329_e3,180.05,18.5455,
Male,0329_e3,180.375,19.125,
Male,0329_e3,180.7,19.7045,
